Team,FG%,3P%,2P%,eFG%,AST%,BLK%,BPM,DBPM,DWS,OBPM,ORB%,OWS,PER,TRB%,TS%,USG%,VORP,WS,WS/48
ATL,0.39280000000000004,0.25155000000000005,0.4472499999999999,0.44715,13.49,1.7699999999999996,-4.130000000000001,-0.985,0.3549999999999999,-3.1499999999999995,4.25,0.28,10.325000000000001,9.170000000000002,0.48069999999999985,18.43,0.045,0.6100000000000001,0.00635
BOS,0.4785882352941175,0.31374057315233794,0.5439999999999999,0.5298235294117647,11.78235294117647,2.9176470588235297,-0.19999999999999996,0.876470588235294,1.0411764705882351,-1.0705882352941178,4.976470588235294,0.9705882352941174,14.988235294117649,11.270588235294115,0.564,18.594117647058827,0.6176470588235294,1.9882352941176469,0.12523529411764706
BRK,0.37765,0.2577794871794872,0.44749999999999995,0.43079999999999996,12.73,1.4749999999999999,-4.874999999999999,-0.45,0.6650000000000001,-4.42,4.375,0.42000000000000004,8.995,10.899999999999997,0.45439999999999997,18.61,0.205,1.0749999999999997,0.011299999999999998
CHI,0.4513529411764706,0.2732526395173454,0.5161764705882353,0.5048823529411764,11.376470588235295,1.8058823529411765,-2.2294117647058824,-0.4470588235294119,0.8882352941176469,-1.7764705882352945,6.335294117647059,0.4470588235294118,13.270588235294117,9.694117647058823,0.5337647058823529,18.941176470588236,0.22352941176470587,1.3588235294117645,0.07647058823529412
CHO,0.4234,0.27481965811965814,0.4856,0.47513333333333335,13.126666666666667,1.8666666666666665,-4.02,-1.413333333333333,0.4666666666666667,-2.6133333333333337,6.026666666666666,0.4799999999999999,12.206666666666667,10.286666666666667,0.5076,19.84,0.019999999999999997,0.9599999999999999,0.03233333333333333
CLE,0.47899195326278654,0.311715811965812,0.5694915386328212,0.5331315035273368,12.71111111111111,2.338888888888889,-1.6500000000000001,-0.23888888888888893,0.22777777777777775,-1.4000000000000004,4.7444444444444445,0.4444444444444444,14.783333333333335,12.41111111111111,0.5594960396039604,17.09444444444445,-0.022222222222222223,0.6666666666666666,0.08322222222222223
DAL,0.4493529411764707,0.34732880844645553,0.4971764705882353,0.5237058823529414,12.6,1.6294117647058823,-3.329411764705882,-1.4470588235294117,0.6176470588235294,-1.8764705882352946,4.641176470588236,1.3705882352941174,12.341176470588234,10.08235294117647,0.5467058823529412,20.270588235294124,0.623529411764706,1.9882352941176473,0.05458823529411766
DEN,0.4551333333333333,0.32148632478632483,0.5128,0.5145333333333334,14.919999999999998,1.6,-0.6066666666666668,0.16,0.9666666666666667,-0.7666666666666668,5.046666666666667,1.0066666666666668,14.006666666666666,10.093333333333334,0.5450666666666667,18.86,0.5733333333333334,1.9666666666666663,0.09946666666666666
DET,0.4348150093370682,0.31489969834087483,0.4905792761994578,0.504903944911298,15.541176470588235,1.2999999999999996,-3.4647058823529417,-1.764705882352941,0.5294117647058824,-1.7000000000000004,3.4647058823529413,0.7352941176470589,11.947058823529408,8.023529411764706,0.5371176470588236,19.423529411764708,0.2117647058823529,1.258823529411765,0.046764705882352944
GSW,0.4286,0.32995299145299145,0.47600000000000003,0.4795333333333333,17.040000000000003,1.9,-2.0933333333333333,-0.6199999999999999,0.5466666666666666,-1.4733333333333334,5.266666666666666,0.4066666666666668,13.54,10.066666666666668,0.5244000000000001,20.193333333333335,0.020000000000000018,0.9466666666666667,0.05106666666666666
HOU,0.46206666666666674,0.3018393162393163,0.5827333333333333,0.5486666666666667,11.54666666666667,1.7866666666666664,-0.7266666666666666,-0.25333333333333324,0.7666666666666667,-0.4799999999999999,4.72,1.24,13.540000000000001,10.893333333333334,0.5674,17.553333333333335,0.6066666666666668,2.02,0.10560000000000001
IND,0.4404705882352941,0.291605580693816,0.5048823529411764,0.48847058823529416,13.411764705882353,2.229411764705883,-2.2588235294117647,-0.31176470588235294,0.8411764705882353,-1.952941176470588,4.335294117647059,0.8411764705882353,12.723529411764703,9.782352941176471,0.515764705882353,19.21176470588236,0.43529411764705883,1.6941176470588237,0.07176470588235294
LAC,0.47235294117647053,0.35958823529411765,0.5361764705882353,0.5577058823529412,16.458823529411763,1.5117647058823531,0.8823529411764706,-0.08235294117647053,0.9470588235294116,0.9647058823529406,4.123529411764705,0.9470588235294118,15.817647058823528,9.011764705882353,0.5885882352941176,18.811764705882357,0.5941176470588235,1.8823529411764703,0.14747058823529413
LAL,0.4187409474206349,0.367661858974359,0.4824184619238477,0.482960441468254,15.256250000000001,1.8812499999999999,-1.50625,0.14375000000000004,1.0625,-1.6500000000000001,3.7375,1.0875000000000001,13.024999999999999,9.2125,0.49980804455445543,15.825,0.6875,2.1375,0.10687500000000001
MEM,0.4635,0.313875,0.5581875000000001,0.5203749999999999,13.381250000000001,1.9125000000000005,-2.1,-0.79375,0.58125,-1.3124999999999998,4.325000000000001,0.8,13.199999999999998,9.64375,0.5424375,18.03125,0.275,1.375,0.06724999999999999
MIA,0.466109126984127,0.3028582202111614,0.5209820818106801,0.5393157096171803,11.752941176470587,1.7705882352941178,-5.311764705882353,-1.435294117647059,0.8235294117647057,-3.8764705882352937,3.723529411764706,0.9882352941176471,8.705882352941178,10.688235294117646,0.5594075713453698,20.38235294117647,0.4882352941176471,1.8058823529411767,0.003941176470588251
MIL,0.45025000000000004,0.328375,0.521125,0.5295625,15.106250000000001,2.1,0.4750000000000001,1.0062499999999999,1.3875000000000002,-0.54375,4.39375,1.1499999999999997,14.1875,9.925,0.5554375000000001,18.775000000000002,0.8250000000000002,2.5250000000000004,0.135375
MIN,0.4220555555555556,0.2886666666666666,0.5262777777777777,0.4862222222222223,13.62222222222222,1.8333333333333333,-2.4000000000000004,-0.6444444444444444,0.6055555555555556,-1.7555555555555553,4.561111111111111,0.4555555555555555,12.466666666666663,9.56111111111111,0.520888888888889,18.772222222222226,0.1888888888888889,1.0444444444444443,0.05899999999999999
NOP,0.47362499999999996,0.34726842948717945,0.523375,0.5341875,13.512500000000001,1.78125,-1.9187500000000002,-0.6062500000000001,0.5375,-1.30625,5.53125,0.8625,12.750000000000002,10.34375,0.5510625,18.75625,0.34374999999999994,1.38125,0.0566875
NYK,0.42337499999999995,0.3040809294871794,0.47568749999999993,0.4810624999999999,14.475000000000001,1.6937499999999999,-2.7937499999999997,-1.03125,0.53125,-1.7374999999999998,4.2124999999999995,0.35,11.9875,8.500000000000002,0.5079375,19.225,0.07500000000000001,0.8812500000000001,0.037250000000000005
OKC,0.388764705882353,0.25884087481146306,0.4632352941176471,0.44070588235294117,10.976470588235294,1.4647058823529415,-4.070588235294118,-0.7117647058823531,0.8470588235294116,-3.3647058823529403,3.2941176470588234,0.9058823529411765,8.935294117647059,8.588235294117649,0.47547058823529414,18.50588235294118,0.5,1.747058823529412,0.014
ORL,0.3817777777777777,0.2799052706552707,0.45965820529948787,0.4327222222222223,11.505555555555556,2.3499999999999996,-3.1388888888888884,0.46666666666666656,0.8888888888888888,-3.605555555555556,5.094444444444445,0.37222222222222234,10.466666666666665,9.694444444444445,0.4644444444444445,18.43333333333333,0.2777777777777778,1.2555555555555555,0.029111111111111105
PHI,0.4560625,0.31070592948717946,0.5345,0.5151875,13.74375,2.2875,-1.21875,0.8437499999999999,1.1125,-2.0562500000000004,4.487500000000001,0.7999999999999999,12.312500000000002,9.956250000000002,0.532625,18.53125,0.5312500000000001,1.925,0.08568749999999999
PHO,0.40181249999999996,0.3098934294871795,0.4795529809619239,0.45856250000000004,13.618750000000002,1.3249999999999997,-3.8625000000000003,-0.9062500000000001,0.66875,-2.9499999999999997,4.0874999999999995,0.8625,9.975,8.9625,0.48924999999999996,19.037499999999998,0.32500000000000007,1.55,0.020437500000000004
POR,0.4361111111111111,0.3185327635327635,0.4756666666666666,0.49183333333333334,9.038888888888888,2.0166666666666666,-2.5499999999999994,-0.7000000000000001,0.4222222222222222,-1.8611111111111107,6.066666666666666,0.9222222222222223,11.422222222222222,10.883333333333333,0.5191666666666667,16.98888888888889,0.3277777777777777,1.333333333333333,0.05172222222222222
SAC,0.44065000000000004,0.26915897435897435,0.5385923847695391,0.48774999999999996,11.279999999999998,2.0900000000000003,-3.2650000000000006,-0.7449999999999999,0.4849999999999999,-2.54,5.549999999999999,0.555,11.52,10.419999999999998,0.5215000000000001,18.669999999999998,0.22000000000000003,1.025,0.04865000000000001
SAS,0.46993333333333337,0.33701196581196585,0.5035333333333333,0.5188,12.353333333333332,2.0799999999999996,-2.1200000000000006,-1.1466666666666667,0.5666666666666665,-0.9933333333333334,5.606666666666667,1.04,15.399999999999999,12.193333333333333,0.5519999999999999,19.759999999999998,0.38666666666666666,1.6133333333333333,0.08593333333333333
TOR,0.429936397707231,0.3234608262108262,0.49160264974393225,0.5046870590828925,12.533333333333333,2.0666666666666664,-1.0833333333333333,0.4666666666666667,1.072222222222222,-1.5444444444444447,5.072222222222223,0.8222222222222223,13.02222222222222,10.31666666666667,0.5420515951595158,17.9,0.5555555555555556,1.8944444444444446,0.11938888888888886
UTA,0.4290900167084377,0.2915512820512821,0.5001418626727139,0.48667021720969095,10.9,2.0842105263157897,-2.1999999999999997,0.9421052631578947,0.7578947368421053,-3.142105263157895,4.342105263157893,0.8421052631578947,9.794736842105262,10.921052631578947,0.5145188118811881,16.336842105263155,0.46842105263157907,1.605263157894737,0.05215789473684212
WAS,0.46389473684210525,0.32442105263157894,0.5024736842105263,0.532,13.563157894736841,1.8052631578947371,-1.9052631578947365,-1.6368421052631583,0.1105263157894737,-0.28421052631578947,4.978947368421053,0.8157894736842105,13.789473684210526,9.736842105263158,0.562421052631579,17.626315789473686,0.12105263157894734,0.9368421052631579,0.06542105263157896
